,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
90131711766096_.pic,ENHANCED_CONTRAST,8,11,0,1.9633722174657606,83.3511825770548,6.317177463242688,0.9998179854370696,0.9919455779615297,31.550848137842465,28.921685949396874
90131711766096_.pic,ENHANCED_CONTRAST,9,12,1,2.5835669948630198,93.78228809931507,6.393335548849833,0.9996867445915035,0.9910364490827116,31.994691780821917,28.40959536423448
90131711766096_.pic,ENHANCED_CONTRAST,9,12,0,2.5835669948630198,93.78228809931507,6.393335548849833,0.9996867445915035,0.9910364490827116,31.994691780821917,28.40959536423448
90131711766096_.pic,ENHANCED_CONTRAST,8,11,1,1.9633722174657606,83.3511825770548,6.317177463242688,0.9998179854370696,0.9919455779615297,31.550848137842465,28.921685949396874
90131711766096_.pic,ENHANCED_CONTRAST,10,12,1,3.217931292808217,104.50955158390411,6.435521452797623,0.9995170402137654,0.9901503387394628,32.226669520547944,27.939243765393435
90131711766096_.pic,ENHANCED_CONTRAST,10,12,0,3.217931292808217,104.50955158390411,6.435521452797623,0.9995170402137654,0.9901503387394628,32.226669520547944,27.939243765393435
90131711766096_.pic,ENHANCED_CONTRAST,10,10,1,3.2488174229452085,103.53309610445206,6.259245282463338,0.999507873763461,0.9902652095152087,31.799341823630137,27.980011593075133
90131711766096_.pic,ENHANCED_CONTRAST,10,10,0,3.2488174229452085,103.53309610445206,6.259245282463338,0.999507873763461,0.9902652095152087,31.799341823630137,27.980011593075133
90131711766096_.pic,ENHANCED_CONTRAST,9,10,1,2.506632598458907,90.83070151969179,6.202691304954964,0.999704900703951,0.991315345212487,31.610306078767124,28.548476924468456
90131711766096_.pic,ENHANCED_CONTRAST,9,10,0,2.506632598458907,90.83070151969179,6.202691304954964,0.999704900703951,0.991315345212487,31.610306078767124,28.548476924468456
92811711896171_.pic,ENHANCED_CONTRAST,10,11,1,17.87602746016438,1707.0912200945952,7.309960354136369,0.9891343975706516,0.8653860983627757,107.0682983575944,15.808236321812771
92811711896171_.pic,ENHANCED_CONTRAST,10,11,0,17.87602746016438,1707.0912200945952,7.309960354136369,0.9891343975706516,0.8653860983627757,107.0682983575944,15.808236321812771
92811711896171_.pic,ENHANCED_CONTRAST,9,10,1,17.17063492063491,1504.35649997704,7.307296711392392,0.9900287298861165,0.882047717033289,103.17406361451684,16.35729594009778
92811711896171_.pic,ENHANCED_CONTRAST,9,10,0,17.17063492063491,1504.35649997704,7.307296711392392,0.9900287298861165,0.882047717033289,103.17406361451684,16.35729594009778
92811711896171_.pic,ENHANCED_CONTRAST,8,11,0,17.275902710811096,1520.2712877500728,7.297361420995131,0.9898979918086676,0.8806228491665399,103.74183771869403,16.31159267488901
,,,,,AMBE,MSE,Entropy,si,ssim,EC,psnr
1,REMOVE_WHITE_LINE,250,8,11,7.539602194787392,162.13738683127573,7.021297035132372,0.9990130970437126,0.9622766205598745,14.508220164609053,26.03197191655646
1,REMOVE_WHITE_LINE,253,11,8,5.230871056241426,109.96755144032922,6.996840987642323,0.9995312419178294,0.9701962854963624,17.21325788751715,27.718158057945153
153,REMOVE_WHITE_LINE,254,11,8,10.904825000000002,436.692675,7.358538746916449,0.9954449906987001,0.9238984944393508,23.16818333333333,21.729044536586386
35,ENHANCED_CONTRAST,10,8,0,2.501618923611119,2444.936697048611,7.828846028909348,0.9998100935764633,0.5762723091851156,122.4330078125,14.248127417757061
35,REMOVE_WHITE_LINE,250,10,8,9.55313802083333,311.13795572916666,7.264431741004604,0.9969553256670539,0.9467516409501674,17.339331597222223,23.20127366929721
1,ENHANCED_CONTRAST,11,8,0,31.683024691358014,3136.604691358025,7.898911873901718,0.9799928889343354,0.5962068465465714,112.68336076817559,13.166205731806551
1,REMOVE_WHITE_LINE,254,8,8,5.230871056241426,109.96755144032922,6.996840987642323,0.9995312419178294,0.9701962854963624,17.21325788751715,27.718158057945153
98,REMOVE_WHITE_LINE,250,9,11,23.172616666666656,1163.90665,7.656621949717339,0.9783123840324047,0.896848253140575,28.171575,17.47162211323485
35,REMOVE_WHITE_LINE,252,9,10,11.133328993055557,378.6450911458333,7.2529728663390935,0.9958132409202431,0.938311634361269,15.4283984375,22.348480299782313
98,REMOVE_WHITE_LINE,252,10,9,19.73084999999999,870.40235,7.717014123956856,0.9847048977426622,0.923067655946391,32.242641666666664,18.733603059602043
35,REMOVE_WHITE_LINE,252,9,8,9.55313802083333,311.13795572916666,7.264431741004604,0.9969553256670539,0.9467516409501674,17.339331597222223,23.20127366929721
153,ENHANCED_CONTRAST,11,10,0,10.71437499999999,3044.826091666667,7.924428613789369,0.9963290396629438,0.5488939328812131,142.03061666666667,13.295178683608865
